judul_ciptaan,jenis_ciptaan,nomor_pencatatan,nama_pencipta,dosen_terkait,file_asli
PERBANA,Permainan Video,000621747,"Dr. Rini Untari, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - PERBANA.pdf
PERBANA,Permainan Video,000621747,"Dina Sri Suprajanti, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - PERBANA.pdf
EcoEnigma Puzzle Flora Dan Fauna,Program Komputer,000613822,Ahmad Zhilli Mamdudi M,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - EcoEnigma Puzzle Flora Dan Fauna.pdf
EcoEnigma Puzzle Flora Dan Fauna,Program Komputer,000613822,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - EcoEnigma Puzzle Flora Dan Fauna.pdf
EcoEnigma Puzzle Flora Dan Fauna,Program Komputer,000613822,"Dr. Ir. H. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - EcoEnigma Puzzle Flora Dan Fauna.pdf
EcoEnigma Puzzle Flora Dan Fauna,Program Komputer,000613822,"Dr. Occy Bonanza, SP., M.T",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - EcoEnigma Puzzle Flora Dan Fauna.pdf
EcoEnigma Puzzle Flora Dan Fauna,Program Komputer,000613822,"Oktovianus, S.Hut.,M.Sc",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - EcoEnigma Puzzle Flora Dan Fauna.pdf
JENGGALA BESTARI,Program Komputer,000621490,Raffi Omar Radianzza,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
JENGGALA BESTARI,Program Komputer,000621490,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
JENGGALA BESTARI,Program Komputer,000621490,"Dr. Ir. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
